Ticker,Returns,Volatility,company,Company,Industry,FullTimeEmployees,FiveYearAvgDividendYield,Beta,RegularMarketVolume,MarketCap,ProfitMargins,PriceToBook,NetIncomeToCommon,TotalRevenue,DebtToEquity,ReturnOnAssets,ReturnOnEquity,FreeCashFlow,OperatingCashFlow,GrossMargin,sharpe_ratio
LNT,0.1112468521377278,0.229334977154946,Alliant Energy Corporation,Alliant Energy Corporation,Utilities - Regulated Electric,3281,3.08,0.572,1496418,14913533952,0.16667,2.1403055,661000000,3966000128,153.258,0.02552,0.096540004,-1098125056,1158000000,0.44907,0.48508454104044446
ALL,0.15009939887080373,0.2688436236754285,The Allstate Corporation,The Allstate Corporation,Insurance - Property & Casualty,53000,2.39,0.476,1583184,49004445696,0.067719996,2.5980625,4111000064,62432002048,38.833,0.03271,0.23783001,2982249984,8450999808,0.22216,0.5583148925712176
GOOGL,0.2129470927358951,0.3072451647085953,Alphabet Inc.,Alphabet Inc.,Internet Content & Information,181269,,1.038,17969891,2087021314048,0.27738002,6.6271033,94268997632,339859013632,9.324,0.16483,0.32101002,41104498688,105101000704,0.58127,0.6930852530677363
GOOG,0.21549606263598742,0.30694678108005763,Alphabet Inc.,Alphabet Inc.,Internet Content & Information,181269,,1.038,12473840,2087036780544,0.27738002,6.6923046,94268997632,339859013632,9.324,0.16483,0.32101002,41104498688,105101000704,0.58127,0.70206327584775
MO,0.052851622353186044,0.24453455760648882,"Altria Group, Inc.","Altria Group, Inc.",Tobacco,6400,8.0,0.684,5859526,91841748992,0.50511,,10259999744,20362000384,,0.21103,,4325499904,8640000000,0.69757,0.21613150660789715
AMZN,0.22847565966961625,0.3446984669325154,"Amazon.com, Inc.","Amazon.com, Inc.",Internet Retail,1551000,,1.147,30298294,2097742610432,0.080419995,8.091664,49868001280,620127977472,61.175,0.07069,0.22558,54328250368,112706002944,0.48406,0.6628276061185584
AMCR,0.07314844634170425,0.2771532185259011,Amcor plc,Amcor plc,Packaging & Containers,41000,4.25,0.86,8735625,14829189120,0.056750003,3.7817914,766000000,13550000128,196.619,0.049450003,0.1958,511750016,1187000064,0.20118,0.2639278256653846
AEE,0.11687775437394973,0.2394647247572683,Ameren Corporation,Ameren Corporation,Utilities - Regulated Electric,9372,2.78,0.46,1391447,23389177856,0.16841999,2.026821,1170000000,6946999808,152.297,0.029679999,0.10446999,-1356749952,2502000128,0.52050996,0.4880792128879192
AEP,0.105578701510395,0.22618583859033986,"American Electric Power Company, Inc.","American Electric Power Company, Inc.",Utilities - Regulated Electric,17250,3.52,0.534,5641510,53424848896,0.13488,2.043558,2633299968,19523799040,169.394,0.02706,0.10514,-324337504,6034800128,0.44895,0.46677856654684546
AXP,0.219540762350359,0.34609928834484865,American Express Company,American Express Company,Credit Services,74600,1.28,1.213,1856314,194384560128,0.16698,6.5393276,9760000000,59238998016,186.815,0.03793,0.3469,,15041000448,0.55698,0.6343288465002896
AIG,0.13185714926821804,0.366171509926984,"American International Group, Inc.","American International Group, Inc.",Insurance - Diversified,25000,2.62,1.072,6436375,47518318592,-0.01396,1.1574777,3304999936,45924999168,22.35,0.00898,0.08733,16678875136,6581000192,0.28592,0.3600966915599492
AMT,0.1293806751722506,0.2778035362101469,American Tower Corporation,American Tower Corporation,REIT - Specialty,5643,2.4,0.832,1302344,99929751552,0.09942,27.441294,1942700032,11167699968,439.338,0.04463,0.17691,4899375104,5233399808,0.70855004,0.465727243566761
AWK,0.11388943630976298,0.2527710655090263,"American Water Works Company, Inc.","American Water Works Company, Inc.",Utilities - Regulated Water,6500,1.71,0.691,911396,26721916928,0.21771999,2.5788553,983000000,4514999808,129.608,0.0334,0.097040005,-1103874944,1932999936,0.59889,0.45056358044942474
AMP,0.24801614793196342,0.36687893896754664,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",Asset Management,13800,1.8,1.346,256288,49860653056,0.15517001,8.743026,2707000064,17444999168,67.402,0.02113,0.56751,4073125120,8354999808,0.56349,0.6760163138007287
AME,0.16319055289512777,0.2610922553695456,"AMETEK, Inc.","AMETEK, Inc.",Specialty Industrial Machinery,21500,0.63,1.172,1227618,42102681600,0.19271,4.408545,1331730944,6910462976,26.778,0.078940004,0.14886,1273526272,1819489024,0.35406,0.6250302318012099
AMGN,0.14681007824259418,0.2507332047976689,Amgen Inc.,Amgen Inc.,Drug Manufacturers - General,26700,2.95,0.602,1460438,171628920832,0.13002,22.799915,4230000128,32533999616,802.418,0.04597,0.5572,4574875136,7256999936,0.60589004,0.585523079645808
APH,0.21438006097543824,0.26529684653639857,Amphenol Corporation,Amphenol Corporation,Electronic Components,95000,0.94,1.243,4548348,84043071488,0.15403,8.889314,2192199936,14232399872,57.565,0.1076,0.25293,1660737536,2809400064,0.33568,0.8080761749500307
ADI,0.21296732212969305,0.3363613868762892,"Analog Devices, Inc.","Analog Devices, Inc.",Semiconductors,26000,1.78,1.071,3752763,108036874240,0.17068,3.0701075,1655630976,9700435968,23.07,0.0286,0.04658,2862019584,3989006080,0.57852,0.6331503271153434
ANSS,0.16956851994780503,0.3343004201155683,"ANSYS, Inc.","ANSYS, Inc.",Software - Application,6300,,1.113,353654,28355205120,0.21297,5.074996,495076000,2324645888,15.576,0.054180004,0.094289996,722611648,757020032,0.91949,0.5072339421206377
AON,0.19487714098081574,0.2510363360423693,Aon plc,Aon plc,Insurance Brokers,50000,0.78,0.917,608837,79737274368,0.16320999,12.783885,2436000000,14926000128,274.699,0.05684,0.82182,3086500096,3096000000,0.46858,0.7762905723254535
APA,0.15598838535280685,0.6409057455274894,APA Corporation,APA Corporation,Oil & Gas E&P,2271,2.7,3.232,4790913,8718660608,0.32611,1.6073377,2904999936,8908000256,105.404,0.12717,0.7938,1476625024,3039000064,0.71385,0.24338740359461528
AAPL,0.30350486400703847,0.30835397818498933,Apple Inc.,Apple Inc.,Consumer Electronics,164000,0.63,1.239,27890524,3377625300992,0.23971,59.31776,93736001536,391034994688,209.059,0.21464,1.5741299,110846001152,118254002176,0.46206,0.9842741961479032
AMAT,0.2962083753889499,0.4456747095255091,"Applied Materials, Inc.","Applied Materials, Inc.",Semiconductor Equipment & Materials,35200,0.93,1.54,4043907,153734840320,0.27743,8.159979,7449999872,26854000640,35.409,0.15205,0.4391,4395624960,7656999936,0.47408,0.6646290872199375
APTV,0.06756070218128264,0.4353974537843359,Aptiv PLC,Aptiv PLC,Auto Parts,154000,1.16,1.792,5998740,12983389184,0.122889996,1.4614917,2424000000,19725000704,109.665,0.05353,0.24212,1054374976,2010000000,0.18788,0.15517018208091607
ACGL,0.2336971669049213,0.3035498638843564,Arch Capital Group Ltd.,Arch Capital Group Ltd.,Insurance - Diversified,6400,,0.594,1820778,36303298560,0.33859003,1.6860607,5671000064,16867000320,12.243,0.04861,0.30441,7394250240,6765000192,0.3977,0.7698806512855267
ADM,0.11796164882774854,0.27810492969823464,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,Farm Products,40213,2.6,0.712,9035402,24863385600,0.0293,1.1222618,2600999936,88768004096,52.874,0.03415,0.1075,2144875008,4728999936,0.07441,0.42416237984614674
ANET,0.3782265915985682,0.4367027569682052,"Arista Networks, Inc.","Arista Networks, Inc.",Computer Hardware,4023,,1.075,1018815,127269658624,0.39008,15.092766,2462083072,6311667200,0.731,0.16420999,0.34463,2007098880,2728257024,0.64012,0.8660961845636014
AJG,0.2664342144656473,0.23842016862127552,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Insurance Brokers,51261,1.25,0.725,787527,62133944320,0.10988,5.0985904,1172199936,10667700224,70.273,0.02923,0.10321999,2754050048,2537200128,0.43515,1.1174986411861465
AIZ,0.1575180316964739,0.2848147622891163,"Assurant, Inc.","Assurant, Inc.",Insurance - Property & Casualty,13600,1.86,0.563,390024,10000768000,0.06899,2.000373,797699968,11562200064,41.6,0.02091,0.16811001,1402850048,1486499968,0.11618,0.5530543095114463
T,0.0685752339019278,0.2521046021807696,AT&T Inc.,AT&T Inc.,Telecom Services,143630,7.09,0.737,14708959,158215143424,0.07419,1.545633,8849999872,122059997184,125.151,0.04033,0.08759,17564999680,38252998656,0.59907,0.2720110355334032
ATO,0.12504314308800277,0.23278956994727962,Atmos Energy Corporation,Atmos Energy Corporation,Utilities - Regulated Gas,5019,2.45,0.672,722564,21419046912,0.2509,1.7580428,1026852992,4094885120,64.648,0.03579,0.090179995,-1562511872,1641298944,0.57717997,0.5371509690761557
ADSK,0.21831535487608145,0.38473796778840696,"Autodesk, Inc.","Autodesk, Inc.",Software - Application,14100,0.48,1.478,1007920,62883368960,0.18208,25.357609,1057000000,5805000192,105.214,0.0889,0.57445997,1633500032,1160999936,0.91920996,0.5674390706251992
ADP,0.18850060155110965,0.2598750112104348,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",Software - Application,64000,2.02,0.801,896941,118643326976,0.19715,22.195288,3848900096,19522899968,176.65,0.06544,0.87263,2609362432,4655499776,0.48112,0.725351008829666
AZO,0.2503960359975635,0.272778583244485,"AutoZone, Inc.","AutoZone, Inc.",Specialty Retail,75600,,0.707,101779,51724283904,0.14399,,2662426880,18490267648,,0.14281,,1330651264,3004115968,0.53093,0.9179460975979168
AVB,0.1063709501146129,0.26968537803868625,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",REIT - Residential,2978,3.39,0.985,771465,32199610368,0.29413,2.72527,839811968,2860548096,72.611,0.02786,0.07143,1177270656,1610345984,0.64331,0.39442609342859525
AVY,0.14542118697058562,0.2934746849082486,Avery Dennison Corporation,Avery Dennison Corporation,Packaging & Containers,35000,1.59,0.894,228581,16611617792,0.077649996,6.9472446,674000000,8680500224,131.956,0.08507,0.30241,635200000,899500032,0.29002002,0.4955152674107133
AXON,0.5348910009578791,0.49596195333377147,"Axon Enterprise, Inc.","Axon Enterprise, Inc.",Aerospace & Defense,3330,,0.94,655878,33335068672,0.16055,17.282059,290683008,1810578048,37.944,0.02819,0.17232001,273103360,269755008,0.59812,1.0784920039983577
BKR,0.13881154806765325,0.4175082411956814,Baker Hughes Company,Baker Hughes Company,Oil & Gas Equipment & Services,57000,3.05,1.366,5591274,38175916032,0.082049996,2.3570383,2240000000,27299999744,36.933,0.05432,0.14292,698625024,3073999872,0.21094999,0.33247618698523806
BALL,0.13018718590275447,0.3020260083692974,Ball Corporation,Ball Corporation,Packaging & Containers,21000,1.07,0.881,1535315,17899589632,0.30424,2.6929464,752000000,13784999936,90.836,0.046669997,0.14048,754374976,351000000,0.20392,0.43104627513922644
BAC,0.12711683427436507,0.32961532409441774,Bank of America Corporation,Bank of America Corporation,Banks - Diversified,213000,2.44,1.338,21254109,321340243968,0.24952,1.1840209,21941999616,94625996800,,0.0072899996,0.08092,,-1995000064,,0.38565207677648106
BAX,-0.035995715883436114,0.27653235575418517,Baxter International Inc.,Baxter International Inc.,Medical Instruments & Supplies,60000,1.95,0.593,2614166,18417424384,0.16510001,2.4092364,-157000000,14997000192,173.106,0.03711,-0.02219,1520375040,1174000000,0.38768002,-0.13016818876498265
BDX,0.05832594543898117,0.2357742626164235,"Becton, Dickinson and Company","Becton, Dickinson and Company",Medical Instruments & Supplies,70000,1.38,0.447,1863603,68589662208,0.07126,2.651515,1459000064,19828000768,74.698,0.032479998,0.05633,4431000064,3944000000,0.44896,0.2473804595621639
BRK-B,0.14482054013402787,0.21101247176172527,Berkshire Hathaway Inc.,Berkshire Hathaway Inc.,Insurance - Diversified,396500,,0.869,3147928,959233392640,0.28893,0.0010174067,106875002880,369893015552,19.707,0.07893,0.18441999,96292249600,40370999296,0.36995998,0.6863127042915209
BBY,0.14770629029182064,0.3767282753931195,"Best Buy Co., Inc.","Best Buy Co., Inc.",Specialty Retail,85000,3.46,1.48,1556906,19935068160,0.02962,6.4244685,1260000000,42537000960,131.896,0.07219,0.4241,1411750016,2106000000,0.22294001,0.392076464496029
TECH,0.16944323175974957,0.336168435917298,Bio-Techne Corporation,Bio-Techne Corporation,Biotechnology,3100,0.42,1.272,542176,12314102784,0.12864,5.753892,150679008,1171582976,18.653,0.05222,0.07287,221703008,303487008,0.65577006,0.5040426573583336
BIIB,0.008697478429999978,0.45640836924384626,Biogen Inc.,Biogen Inc.,Drug Manufacturers - General,7570,,-0.06,2464991,25782063104,0.16812,1.5758207,1615200000,9607499776,40.656,0.0499,0.1047,2030687488,2127100032,0.75589997,0.01905635175886347
BLK,0.1653031162413886,0.2975032063672937,"BlackRock, Inc.","BlackRock, Inc.",Asset Management,19800,2.45,1.318,424604,150253633536,0.31372,3.7483695,6073999872,19360999424,27.647,,,,,0.49992,0.5556347383944072
BX,0.3541641476081683,0.376129896787375,Blackstone Inc.,Blackstone Inc.,Asset Management,4735,3.52,1.502,2608397,205728694272,0.19971001,18.586454,2224434944,11138276352,61.166,0.100150004,0.22041,,4215944960,0.95264,0.9416006295515937
BK,0.12193228756090803,0.2946442815824385,The Bank of New York Mellon Corporation,The Bank of New York Mellon Corporation,Banks - Diversified,52600,2.96,1.069,2412175,55265202176,0.20038,1.467913,3352000000,17801000960,,0.008590001,0.08563,,-2931000064,,0.413828793506697
BA,0.019434768885801566,0.4640044914240889,The Boeing Company,The Boeing Company,Aerospace & Defense,171000,2.48,1.569,23001634,112883974144,-0.10880999,,-7975000064,73292996608,,-0.02665,,-4186625024,-5248999936,0.03618,0.04188487233421768
BKNG,0.19116082699737214,0.34441518959521056,Booking Holdings Inc.,Booking Holdings Inc.,Travel Services,24200,,1.402,383609,162669625344,0.21846001,,5036000256,23051999232,,0.15423,,7527875072,8947999744,0.84674,0.5550301867407256
BWA,0.03545731238569805,0.3587756268014798,BorgWarner Inc.,BorgWarner Inc.,Auto Parts,39900,1.64,1.185,2140271,7440174080,0.06331,1.2086116,919000000,14168999936,74.606,0.052670002,0.15923999,621000000,1540999936,0.18518999,0.09882865428123838
BSX,0.21656588485595435,0.2776766919096559,Boston Scientific Corporation,Boston Scientific Corporation,Medical Devices,48000,,0.797,5399343,126071422976,0.112629995,6.0865235,1792999936,15911000064,53.722,0.04903,0.08916,1804875008,2936000000,0.68745005,0.7799210058524308
BMY,0.03915239957977341,0.23921510651150937,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Drug Manufacturers - General,34100,3.41,0.46,7725147,113476673536,-0.15301,6.618952,-7257999872,47435001856,299.052,0.060739998,-0.3133,17518125056,15002999808,0.75874,0.16367026376693172
AVGO,0.37995566879821824,0.37995488719477777,Broadcom Inc.,Broadcom Inc.,Semiconductors,20000,2.73,1.184,13369715,812213862400,0.108830005,2.936458,5487000064,46814998528,166.032,0.077010006,0.12509,25984124928,19185999872,0.74713,1.0000020570953732
BR,0.17462215989721336,0.252369808501704,"Broadridge Financial Solutions, Inc.","Broadridge Financial Solutions, Inc.",Information Technology Services,14600,1.63,1.058,651490,25516869632,0.10729,11.749825,698099968,6506800128,164.971,0.08180001,0.31667998,1124637440,1056200000,0.30659,0.6919296762712182
BRO,0.2448365790697223,0.24604967322142657,"Brown & Brown, Inc.","Brown & Brown, Inc.",Insurance Brokers,16152,0.68,0.827,1029030,30769082368,0.23066,4.7608514,1038200000,4558700032,58.92,0.052020002,0.18144,760512512,1118499968,0.47867,0.9950697185010583
BF-B,0.03459888527866149,0.26167346732057595,Brown-Forman Corporation,Brown-Forman Corporation,Beverages - Wineries & Distilleries,5700,1.2,0.75,1414840,20599748608,0.24150999,5.966444,988000000,4091000064,91.429,0.08517,0.29046,550499968,626000000,0.59643,0.13222160287376186
BLDR,0.4361483238166011,0.5023875461143184,"Builders FirstSource, Inc.","Builders FirstSource, Inc.",Building Products & Equipment,29000,,2.067,1969639,20914661376,0.07401,4.7034826,1238347008,16731047936,97.541,0.1017,0.27435,1498130304,2110928000,0.33553,0.8681511458434034
BG,0.12071775273219582,0.3158184012768821,Bunge Global SA,Bunge Global SA,Farm Products,23000,2.84,0.634,3257132,11840370688,0.02112,1.1682533,1151000064,54501998592,63.434,0.04978,0.10922,979875008,2295000064,0.06558,0.38223786911757873
BXP,0.04611127288681362,0.3495768703842925,"BXP, Inc.","BXP, Inc.",REIT - Office,836,4.79,1.202,895495,14424360960,0.10055,2.232341,363051008,3610540032,205.256,0.03103,0.058280002,,,0.63934,0.13190596058636014
CHRW,0.0923733608060144,0.28433337787247326,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,14537,2.42,0.827,1120572,12403250176,0.01956,7.5548997,347356992,17762187264,116.88,0.07148,0.22818,117191624,288484992,0.07067,0.32487695077236023
CDNS,0.3261293443393129,0.3466122912536038,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",Software - Application,12703,,1.019,1964264,79868125184,0.23868,17.501652,1039172992,4353906176,61.911,0.10872,0.27072,939971904,1091282944,0.87789,0.9409053070789567
CZR,0.2790627366985513,0.6756526783120682,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc.",Resorts & Casinos,51000,,2.965,5241982,8242099200,-0.03203,1.9682363,-361000000,11271000064,599.43,0.044770002,-0.063769996,-217750000,1274000000,0.52045,0.4130269081382354
CPT,0.10595483433999427,0.2652857799657638,Camden Property Trust,Camden Property Trust,REIT - Residential,1640,3.2,0.915,662076,12588357632,0.2216,2.8807185,344383008,1556548992,71.778,0.021459999,0.07229,714346880,814499008,0.61849,0.39939884585471624
CPB,0.064784258043568,0.25552502939523114,Campbell Soup Company,Campbell Soup Company,Packaged Foods,14400,3.11,0.174,1377486,13910572032,0.05884,3.671065,567000000,9635999744,198.683,0.06407,0.15203,576750016,1184999936,0.31309998,0.25353390310490287
COF,0.16851115323899632,0.39813614542197057,Capital One Financial Corporation,Capital One Financial Corporation,Credit Services,52500,1.77,1.446,2488843,63349739520,0.16455,1.0907335,4062000128,26496999424,,0.0091,0.07479,,22811000832,,0.42325007457033886
CAH,0.1620110857914476,0.3049505018273132,"Cardinal Health, Inc.","Cardinal Health, Inc.",Medical Distribution,47922,3.02,0.614,1773552,27390691328,0.0057,,1280000000,224454000640,,0.03175,,1906249984,1587000064,0.03374,0.5312701071834632
KMX,0.10095708787973451,0.4103896690023011,"CarMax, Inc.","CarMax, Inc.",Auto & Truck Dealerships,30000,,1.683,953548,11444236288,0.01508,1.8568233,417520000,27679066112,314.637,0.01539,0.06853,894939136,1021150976,0.11958,0.24600299545836868
CCL,0.05516183822542227,0.6483807614625607,Carnival Corporation & plc,Carnival Corporation & plc,Travel Services,106000,4.21,2.697,17605156,30124533760,0.063930005,3.3087695,1564999936,24479000576,352.355,0.04249,0.20120001,-506249984,5934000128,0.51963,0.08507630316018787
CARR,0.4804256279904348,0.383994459437806,Carrier Global Corporation,Carrier Global Corporation,Building Products & Equipment,53000,,1.192,3474157,66305077248,0.14003,4.515459,1535000064,24800999424,85.607,0.04176,0.13931,1345374976,1492999936,0.28301,1.2511264581624708
CTLT,0.1474689836376068,0.4350103956675513,"Catalent, Inc.","Catalent, Inc.",Drug Manufacturers - Specialty & Generic,16900,,1.155,1431845,10614821888,-0.23807,2.9369223,-1043000000,4381000192,138.402,0.00037,-0.25393,180000000,268000000,0.21753,0.3390010563110939
CAT,0.20647705318540954,0.31823325097778427,Caterpillar Inc.,Caterpillar Inc.,Farm & Heavy Construction Machinery,113200,2.17,1.093,1722571,185895337984,0.1626,9.569895,10677000192,65664000000,195.336,0.10185,0.53475,7211250176,12645000192,0.32529,0.6488230018422042
CBOE,0.13148374235133356,0.268941944050581,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,1647,1.43,0.671,1077500,22210181120,0.19729,5.2772183,776200000,3955599872,38.137,0.08826999,0.19518,751675008,1622000000,0.51747,0.4888926597727161
CBRE,0.22366359995900148,0.3494963082434353,"CBRE Group, Inc.","CBRE Group, Inc.",Real Estate Services,130000,,1.402,980650,41226743808,0.02792,4.662076,958000000,34313000960,73.116,0.04146,0.11434,916257024,1220999936,0.19660999,0.6399598355791863
CDW,0.22597430846808056,0.3084397341749374,CDW Corporation,CDW Corporation,Information Technology Services,15100,1.09,1.032,1205254,25718620160,0.05327,10.942338,1109699968,20831199232,278.653,0.079,0.53360003,1234537472,1468499968,0.22087,0.7326368279772766
CE,0.10918931529165242,0.34542864469043827,Celanese Corporation,Celanese Corporation,Chemicals,12410,2.16,,10725347,9943023616,0.10402001,1.3673724,1099000064,10478999552,171.754,0.025109999,0.15095,,,0.23705,0.3160980334723088
COR,0.1857681819173325,0.2719915180004764,"Cencora, Inc.","Cencora, Inc.",Medical Distribution,46000,1.31,0.437,1721303,45863911424,0.00654,49.827515,1856302976,283830812672,578.115,0.028499998,1.87717,4500855296,4311116800,0.0337,0.6829925553671388
CNC,0.09366083007734138,0.3486125001342262,Centene Corporation,Centene Corporation,Healthcare Plans,67700,,0.48,4953508,32715253760,0.02098,1.2104231,3067000064,146204000256,64.231,0.03506,0.11559,1001500032,958000000,0.14823,0.26866744606484044
CNP,0.08141717339512558,0.29270191022146164,"CenterPoint Energy, Inc.","CenterPoint Energy, Inc.",Utilities - Regulated Electric,8827,3.1,0.917,5040542,19258531840,0.11246,1.8280233,963000000,8562999808,188.828,0.027520001,0.09573,-1512749952,2058000000,0.44692,0.2781573011721188
CF,0.20365946566403406,0.4041807958257351,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",Agricultural Inputs,2700,2.39,0.946,1408967,15063171072,0.19455,2.9051855,1164000000,5983000064,42.006,0.07842,0.1792,1528625024,2331000064,0.3398,0.5038820937742996
CRL,0.1397872956473199,0.36364957378782264,"Charles River Laboratories International, Inc.","Charles River Laboratories International, Inc.",Diagnostics & Research,20400,,1.364,997710,9741679616,0.10827,2.615905,431790016,4077775872,75.301,0.04994,0.12603,376418880,749816000,0.35983002,0.38440109853911475
SCHW,0.12867646214121212,0.3634079846467917,The Charles Schwab Corporation,The Charles Schwab Corporation,Capital Markets,32100,1.38,0.963,4230611,130450235392,0.27471,3.750986,4687000064,18736001024,141.56,,,,,0.96776,0.3540826497422093
CHTR,0.04796549906972751,0.3259532759799366,"Charter Communications, Inc.","Charter Communications, Inc.",Telecom Services,101100,,1.047,1587004,54372909056,0.085200004,3.8565032,4674999808,54869999616,533.472,0.05407,0.32965,3804124928,14824999936,0.39578998,0.14715452368295856
CVX,0.12017727363575582,0.3242829780575909,Chevron Corporation,Chevron Corporation,Oil & Gas Integrated,45600,4.44,1.079,5965216,273530044416,0.08696,1.7620372,16680999936,191829000192,14.466,,,,35208998912,0.39213002,0.37059383861465894
CMG,0.404686547184661,0.36103598695016703,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",Restaurants,125000,,1.255,10287849,76550307840,0.13512999,21.199999,1484432000,10984862720,124.061,0.14012,0.45673,878918528,1843764992,0.40776002,1.1209036268191153
CB,0.1572476327928554,0.2628743134060374,Chubb Limited,Chubb Limited,Insurance - Property & Casualty,40000,1.76,0.674,1675386,111775039488,0.18277,1.6995496,9996999680,54697000960,31.706,0.02915,0.16125,13009625088,14803000320,0.28444,0.5981856148492137
